register_number,car_make,car_model,car_model_year,mile_age,tire_size,color,car_VIN
LET331,Suzuki,Sidekick,1992,220135,16,Orange,JTDKTUD32ED782524
CQF452,Cadillac,XLR,2008,47277,20,Mauv,2HNYD18201H812926
YWK632,Volvo,S40,2000,205651,16,Teal,WAUHFBFL2AN837669
YSA307,Plymouth,Neon,1995,146183,19,Purple,WAUAFAFL6EN531432
AZD769,Nissan,Xterra,2005,219374,14,Violet,2G4G15GV6B9377267
HYK602,Ford,GT500,2007,194324,19,Mauv,5N1AR2MM8EC585592
OLU806,Pontiac,Sunfire,2001,95818,14,Red,JN8AZ2KR5AT626293
VVO408,Jeep,Cherokee,1997,8577,16,Puce,2HNYD18296H493193
FRS795,Ford,F-Series,1989,277799,17,Maroon,JN1AY1AP2CM392039
NMJ802,Mitsubishi,Truck,1988,83963,21,Crimson,WAUVVAFRXAA304867
EQK570,Oldsmobile,Intrigue,1998,245107,16,Turquoise,YV426MDA1F2488516
UQM472,Chevrolet,Express 3500,2006,107579,14,Violet,1B3AZ6JZ1AV698652
YOV678,Eagle,Vision,1997,94043,22,Fuscia,WAULT54B82N322823
GSE673,Dodge,Ram Van 1500,1997,163324,20,Violet,KMHCT4AE3FU899889
FVY962,Mercedes-Benz,SLR McLaren,2007,51301,20,Red,WP0CB2A82CS545665
TEA947,Suzuki,Forenza,2004,173983,19,Purple,5GADV33W97D190583
NXM289,Isuzu,Rodeo,2004,213353,14,Violet,WAUMF98K59A350142
VEG826,Volkswagen,GTI,1986,53892,22,Khaki,5UXWY3C53F0656888
IUR140,Audi,80,1990,251307,17,Purple,WVWED7AJ1CW819210
ZHN729,Cadillac,Seville,2001,52345,14,Turquoise,1N4AB7AP6DN095665
TRS804,Chrysler,300,2007,24879,17,Yellow,1G6DJ8EG2A0068534
CIB356,Subaru,Legacy,2012,218734,22,Mauv,4T1BF1FK6CU098529
TYO003,Ford,F250,2007,245831,17,Purple,JTJBC1BA3A2334876
LBX715,Audi,100,1989,293914,18,Aquamarine,SCBGT3ZA0DC714494
YEJ392,Mitsubishi,Diamante,2003,271665,19,Red,WBA6B2C59ED981952
EWP507,Chrysler,PT Cruiser,2006,98830,19,Green,5UXFA93525L607556
SWE564,Volkswagen,GTI,2000,23091,14,Turquoise,4T1BK1EB7FU362696
